Fecha,y1,y2
25-01-07,527.77,392.15
26-01-07,527.77,392.09
27-01-07,527.76,391.8
28-01-07,527.74,392.1
29-01-07,527.73,392.22
30-01-07,527.7,391.84
31-01-07,527.68,391.96
01-02-07,527.65,392
02-02-07,527.63,391.85
03-02-07,527.6,392.07
04-02-07,527.6,392.03
05-02-07,527.6,392.07
06-02-07,527.59,391.97
07-02-07,527.57,392
08-02-07,527.57,391.89
09-02-07,527.56,391.92
10-02-07,527.53,391.79
11-02-07,527.51,392.17
12-02-07,527.51,392.06
13-02-07,527.49,392.24
14-02-07,527.47,392.16
15-02-07,527.46,392.15
16-02-07,527.44,392.17
17-02-07,527.44,392.23
18-02-07,527.44,392.3
19-02-07,527.44,392.37
20-02-07,527.44,392.18
21-02-07,527.44,392.02
22-02-07,527.41,392.29
23-02-07,527.4,392.35
24-02-07,527.39,392.27
25-02-07,527.39,392.21
26-02-07,527.38,392.15
27-02-07,527.33,392.14
28-02-07,527.27,392.1
01-03-07,527.22,391.86
02-03-07,527.15,391.99
03-03-07,527.13,392.2
04-03-07,527.11,392.28
05-03-07,527.08,392.15
06-03-07,527,392.07
07-03-07,526.97,391.95
08-03-07,526.89,391.9
09-03-07,526.81,391.95
10-03-07,526.73,391.99
11-03-07,526.68,392.3
12-03-07,526.65,392.15
13-03-07,526.57,391.84
14-03-07,526.49,391.83
15-03-07,526.41,391.99
16-03-07,526.33,391.92
17-03-07,526.23,392.13
18-03-07,526.19,392.45
19-03-07,526.17,392.44
20-03-07,526.14,391.95
21-03-07,526.07,391.33
22-03-07,525.99,391.4
23-03-07,525.91,392.35
24-03-07,525.87,392.11
25-03-07,525.85,391.92
26-03-07,525.84,392.25
27-03-07,525.8,391.83
28-03-07,525.74,391.99
29-03-07,525.7,392.11
30-03-07,525.64,392
31-03-07,525.6,392.04
01-04-07,525.59,391.29
02-04-07,525.55,391.92
03-04-07,525.51,392
04-04-07,525.47,391.96
05-04-07,525.43,392.3
06-04-07,525.41,392.32
