nombre,Fecha,data
x1,2007-07-12,5.33
x1,2007-07-13,4.14
x1,2007-07-14,12.23
x1,2007-07-15,17.33
x1,2007-07-16,17.38
x1,2007-07-17,13.05
x1,2007-07-18,27.66
x1,2007-07-19,18.1
x1,2007-07-20,13.52
x1,2007-07-21,6.85
x1,2007-07-22,39.81
x1,2007-07-23,30.37
x1,2007-07-24,46.53
x1,2007-07-25,26.76
x1,2007-07-26,27.98
x1,2007-07-27,22.53
x1,2007-07-28,19.05
x1,2007-07-29,29.75
x1,2007-07-30,19.68
x1,2007-07-31,21.58
x1,2007-08-01,16.16
x1,2007-08-02,9.99
x1,2007-08-03,30.06
x1,2007-08-04,12.63
x1,2007-08-05,30.31
x1,2007-08-06,48.57
x1,2007-08-07,48.23
x1,2007-08-08,25.15
x1,2007-08-09,35.85
x1,2007-08-10,7.37
x1,2007-08-11,27.76
x1,2007-08-12,30.7
x1,2007-08-13,66.25
x1,2007-08-14,82.2
x1,2007-08-15,78.4
x1,2007-08-16,81.22
x1,2007-08-17,52.86
x1,2007-08-18,53.87
x1,2007-08-19,32.28
x1,2007-08-20,28.83
x1,2007-08-21,28.31
x1,2007-08-22,31.93
x1,2007-08-23,57.75
x1,2007-08-24,59.1
x1,2007-08-25,33.06
x1,2007-08-26,62.75
x1,2007-08-27,57.92
x1,2007-08-28,48.84
x1,2007-08-29,78.16
x1,2007-08-30,67.1
x1,2007-08-31,96.48
x1,2007-09-01,59.29
x1,2007-09-02,70.28
x1,2007-09-03,55.03
x1,2007-09-04,47.18
x1,2007-09-05,59.22
x1,2007-09-06,79.3
x1,2007-09-07,66.31
x1,2007-09-08,68.24
x1,2007-09-09,110.4
x1,2007-09-10,80.02
x1,2007-09-11,73.73
x1,2007-09-12,74.33
x1,2007-09-13,83.86
x1,2007-09-14,55.53
x1,2007-09-15,76.13
x1,2007-09-16,33
x1,2007-09-17,41.11
x1,2007-09-18,65.78
x1,2007-09-19,46.58
x1,2007-09-20,35.58
x1,2007-09-21,52.46
x1,2007-09-22,55.59
x1,2007-09-23,77.19
x1,2007-09-24,107.49
x1,2007-09-25,138.55
x1,2007-09-26,129.58
x1,2007-09-27,80.56
x1,2007-09-28,111.61
x1,2007-09-29,70.69
x1,2007-09-30,73.85
x1,2007-10-01,55.44
x1,2007-10-02,63.92
x1,2007-10-03,42.84
x1,2007-10-04,45.68
x1,2007-10-05,41.14
x1,2007-10-06,36.28
x1,2007-10-07,23.07
x1,2007-10-08,33.74
x1,2007-10-09,45.4
x1,2007-10-10,49.93
x1,2007-10-11,104.22
x1,2007-10-12,117.38
x1,2007-10-13,81.05
x1,2007-10-14,79.79
x1,2007-10-15,75.71
x1,2007-10-16,74.78
x1,2007-10-17,71.8
x1,2007-10-18,85.98
x1,2007-10-19,119.21
x1,2007-10-20,77.44
x1,2007-10-21,99.58
x1,2007-10-22,93.18
x1,2007-10-23,138.23
x1,2007-10-24,126.11
x1,2007-10-25,95.88
x1,2007-10-26,84.13
x1,2007-10-27,59.1
x1,2007-10-28,58.28
x1,2007-10-29,54.34
x1,2007-10-30,60.86
x1,2007-10-31,48.18
x1,2007-11-01,48.27
x1,2007-11-02,48.36
x1,2007-11-03,36.95
x1,2007-11-04,43.21
x1,2007-11-05,37.35
x1,2007-11-06,31.13
x1,2007-11-07,31.3
x1,2007-11-08,37.04
x1,2007-11-09,31.17
x1,2007-11-10,31
x1,2007-11-11,25.06
x1,2007-11-12,24.89
x1,2007-11-13,31.16
x1,2007-11-14,30.8
x1,2007-11-15,24.42
x1,2007-11-16,13.84
x1,2007-11-17,19.42
x1,2007-11-18,31.15
x1,2007-11-19,19.17
x1,2007-11-20,25.05
x1,2007-11-21,19.13
x1,2007-11-22,18.97
x1,2007-11-23,25.6
x1,2007-11-24,25.09
x1,2007-11-25,25.36
x1,2007-11-26,7.4
x1,2007-11-27,25.33
x1,2007-11-28,12.89
x1,2007-11-29,19.06
x1,2007-11-30,19.58
x1,2007-12-01,19.48
x1,2007-12-02,13.44
x1,2007-12-03,13.39
x1,2007-12-04,13.77
x1,2007-12-05,13.52
x1,2007-12-06,13.65
x1,2007-12-07,19.38
x1,2007-12-08,19.41
x1,2007-12-09,13.29
x1,2007-12-10,7.38
x1,2007-12-11,13.25
x1,2007-12-12,13.3
x1,2007-12-13,13.48
x1,2007-12-14,7.41
x1,2007-12-15,16.74
x1,2007-12-16,15.68
x1,2007-12-17,5.85
x1,2007-12-18,11.88
x1,2007-12-19,9.26
x1,2007-12-20,19.55
x1,2007-12-21,7.3
x1,2007-12-22,11.07
x1,2007-12-23,11.78
x1,2007-12-24,7.26
x1,2007-12-25,9.12
x1,2007-12-26,4.66
x1,2007-12-27,15.32
x1,2007-12-28,11.98
x1,2007-12-29,3.07
x1,2007-12-30,1.74
x1,2007-12-31,1.74
x1,2008-01-01,1.29
x1,2008-01-02,10.69
x1,2008-01-03,15.24
x1,2008-01-04,7.64
x1,2008-01-05,11.12
x1,2008-01-06,11.36
x1,2008-01-07,10.09
x1,2008-01-08,15.61
x1,2008-01-09,8.09
x1,2008-01-10,5.36
x1,2008-01-11,11.43
x1,2008-01-12,5.17
x1,2008-01-13,3.96
x1,2008-01-14,3.68
x1,2008-01-15,6.17
x1,2008-01-16,16.06
x1,2008-01-17,6.84
x1,2008-01-18,3.19
x1,2008-01-19,5.53
x1,2008-01-20,11.7
x1,2008-01-21,4.22
x1,2008-01-22,3.33
x1,2008-01-23,7.33
x1,2008-01-24,2.94
x1,2008-01-25,10.65
x1,2008-01-26,4.27
x1,2008-01-27,6.51
x1,2008-01-28,10.6
x1,2008-01-29,12.56
x1,2008-01-30,7.37
x1,2008-01-31,9.11
x1,2008-02-01,13.2
x1,2008-02-02,10.53
x1,2008-02-03,11.33
x1,2008-02-04,11.4
x1,2008-02-05,15.38
x1,2008-02-06,9.67
x1,2008-02-07,9.54
x1,2008-02-08,3.35
x1,2008-02-09,6.69
x1,2008-02-10,4.25
x1,2008-02-11,2.78
x1,2008-02-12,2.17
x1,2008-02-13,2.58
x1,2008-02-14,6.68
x1,2008-02-15,7.12
x1,2008-02-16,1.53
x1,2008-02-17,9.44
x1,2008-02-18,2.22
x1,2008-02-19,3.41
x1,2008-02-20,3.12
x1,2008-02-21,4.12
x1,2008-02-22,5.81
x1,2008-02-23,8.75
x1,2008-02-24,8.64
x1,2008-02-25,2.23
x1,2008-02-26,5.48
x1,2008-02-27,7.26
x1,2008-02-28,1.32
x1,2008-02-29,7.45
x1,2008-03-01,3.75
x1,2008-03-02,7.39
x1,2008-03-03,5.2
x1,2008-03-04,4.18
x1,2008-03-05,6.22
x1,2008-03-06,-0.22
x1,2008-03-07,3.49
x1,2008-03-08,3.48
x1,2008-03-09,0.72
x1,2008-03-10,0.71
x1,2008-03-11,1.19
x1,2008-03-12,4.69
x1,2008-03-13,2.05
x1,2008-03-14,1.05
x1,2008-03-15,5.58
x1,2008-03-16,12.74
x1,2008-03-17,6.32
x1,2008-03-18,9.71
x1,2008-03-19,3.28
x1,2008-03-20,2.97
x1,2008-03-21,2.52
x1,2008-03-22,2.74
x1,2008-03-23,3.2
x1,2008-03-24,5.73
x1,2008-03-25,5.19
x1,2008-03-26,14.89
x1,2008-03-27,3.19
x1,2008-03-28,3.56
x1,2008-03-29,5.13
x1,2008-03-30,2.74
x1,2008-03-31,62.69
x1,2008-04-01,1.08
x1,2008-04-02,-2.32
x1,2008-04-03,5.91
x1,2008-04-04,6.18
x1,2008-04-05,1.87
x1,2008-04-06,1.2
x1,2008-04-07,3.46
x1,2008-04-08,0.99
x1,2008-04-09,3.11
x1,2008-04-10,2.57
x1,2008-04-11,8.41
x1,2008-04-12,-4.48
x1,2008-04-13,3.09
x1,2008-04-14,-2.64
x1,2008-04-15,6.93
x1,2008-04-16,1.34
x1,2008-04-17,2.5
x1,2008-04-18,0.16
x1,2008-04-19,3.42
x1,2008-04-20,2.39
x1,2008-04-21,3
x1,2008-04-22,2.77
x1,2008-04-23,1.5
x1,2008-04-24,14.59
x1,2008-04-25,-0.1
x1,2008-04-26,-0.54
x1,2008-04-27,-2.57
x1,2008-04-28,-0.35
x1,2008-04-29,3.66
x1,2008-04-30,4.06
x1,2008-05-01,-5.3
x1,2008-05-02,3.04
x1,2008-05-03,-4.56
x1,2008-05-04,-1.99
x1,2008-05-05,8.99
x1,2008-05-06,16.86
x1,2008-05-07,78.56
x1,2008-05-08,-73.79
x1,2008-05-09,-2.11
x1,2008-05-10,-0.31
x1,2008-05-11,-2.24
x1,2008-05-12,9.07
x1,2008-05-13,5.44
x1,2008-05-14,5.56
x1,2008-05-15,-0.56
x1,2008-05-16,0.25
x1,2008-05-17,4.49
x1,2008-05-18,1.53
x1,2008-05-19,4.59
x1,2008-05-20,11.65
x1,2008-05-21,1.36
x1,2008-05-22,6.12
x1,2008-05-23,8.18
x1,2008-05-24,4.51
x1,2008-05-25,8.05
x1,2008-05-26,3.67
x1,2008-05-27,12.06
x1,2008-05-28,0.03
x1,2008-05-29,-0.6
x1,2008-05-30,10.07
x1,2008-05-31,84.77
x1,2008-06-01,18.96
x1,2008-06-02,47.96
x1,2008-06-03,74.8
x1,2008-06-04,44.31
x1,2008-06-05,56.33
x1,2008-06-06,13.58
x1,2008-06-07,54.48
x1,2008-06-08,26.3
x1,2008-06-09,46.35
x1,2008-06-10,50.18
x1,2008-06-11,38.37
x1,2008-06-12,29.13
x1,2008-06-13,55.32
x1,2008-06-14,54.71
x1,2008-06-15,22.06
x1,2008-06-16,23.82
